Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,165.479996,167,165.100006,166.979996,160.373077,1141900
1/3/2018,167.309998,168.910004,167.300003,168.720001,162.044281,699900
1/4/2018,169.509995,170.160004,169.229996,169.690002,162.975906,533800
1/5/2018,170.570007,171.630005,170.229996,171.5,164.714249,741900
1/8/2018,171.600006,172.5,171.300003,172.320007,165.501846,635800
1/9/2018,172.630005,172.729996,171.470001,171.880005,165.079224,577200
1/10/2018,171,171.399994,170.449997,171.320007,164.541397,423300
1/11/2018,171.740005,172.440002,171.419998,172.440002,165.617081,462400
1/12/2018,172.220001,173.610001,172,173.429993,166.567856,497700
1/16/2018,174.559998,175.110001,172.160004,172.649994,165.818787,686000
1/17/2018,173.669998,175.399994,173.110001,175.289993,168.354294,469600
1/18/2018,175.320007,176.070007,174.929993,175.639999,168.690399,527300
1/19/2018,175.910004,176.270004,175.190002,176.009995,169.045822,448400
1/22/2018,175.929993,177.369995,175.479996,177.369995,170.35202,478000
1/23/2018,177.720001,178.610001,177.690002,178.449997,171.389252,533500
1/24/2018,178.740005,179.029999,176.110001,176.860001,169.862183,704400
1/25/2018,177.899994,178.130005,175.949997,176.399994,169.42038,697900
1/26/2018,177.539993,179.190002,177.259995,179.190002,172.100006,409000
1/29/2018,178.889999,178.899994,177.350006,177.710007,170.678558,578400
1/30/2018,176.089996,176.960007,175.429993,175.929993,168.968964,817300
1/31/2018,176.949997,177.490005,176.050003,177.169998,170.159927,824600
2/1/2018,176.380005,178.289993,176.279999,177.039993,170.03508,490700
2/2/2018,175.139999,175.229996,171.979996,172.059998,165.252121,772600
2/5/2018,170.240005,173.429993,165.149994,165.330002,158.788422,1737100
2/6/2018,162.800003,169.860001,161.610001,169.509995,162.802979,1689500
2/7/2018,169.25,170.919998,167.559998,167.610001,160.978195,1351000
2/8/2018,168.25,168.399994,160.600006,160.710007,154.351212,940400
2/9/2018,163.100006,165.589996,157.960007,164.589996,158.077667,1274100
2/12/2018,166.210007,168.5,165.100006,167.529999,160.901352,752600
2/13/2018,166.5,168.389999,166.149994,168.050003,161.400787,510600
