Date,Open,High,Low,Close,Adj Close,Volume
2019-02-21,189.869995,190.910004,189.080002,190.229996,184.840576,341300
2019-02-22,191.050003,192.770004,191.009995,192.770004,187.308640,387100
2019-02-25,194.339996,194.990005,193.550003,193.669998,188.183105,929000
2019-02-26,193.110001,194.500000,193.009995,193.979996,188.484329,724100
2019-02-27,193.289993,194.100006,191.970001,193.979996,188.484329,400600
2019-02-28,193.300003,194.080002,192.809998,193.360001,187.881912,273400
2019-03-01,194.860001,195.000000,192.990005,194.600006,189.086792,410700
2019-03-04,195.419998,195.660004,191.250000,193.479996,187.998474,563900
2019-03-05,193.440002,193.470001,192.220001,192.830002,187.366913,359300
2019-03-06,192.830002,192.850006,191.320007,191.580002,186.152328,319700
2019-03-07,191.059998,191.289993,189.259995,189.919998,184.539337,518400
2019-03-08,187.529999,190.009995,187.130005,189.940002,184.558792,452600
2019-03-11,190.669998,194.229996,190.669998,194.110001,188.610672,564700
2019-03-12,194.559998,195.779999,193.929993,195.070007,189.543442,1331200
2019-03-13,195.990005,197.470001,195.580002,196.289993,190.728882,650200
2019-03-14,196.720001,197.250000,196.110001,196.679993,191.107819,368600
2019-03-15,197.259995,199.729996,197.190002,198.889999,193.255188,473700
2019-03-18,199.160004,200.270004,198.369995,199.649994,193.993683,567400
2019-03-19,200.509995,200.970001,199.369995,200.130005,194.460114,537300
2019-03-20,200.000000,201.110001,198.190002,199.520004,193.867371,722700
2019-03-21,198.869995,204.240005,198.869995,203.880005,198.698395,476700
2019-03-22,202.710007,203.559998,198.630005,198.699997,193.650040,984500
2019-03-25,198.110001,199.059998,196.500000,197.889999,192.860626,541900
2019-03-26,199.460007,200.809998,197.949997,199.039993,193.981384,454300
2019-03-27,199.380005,200.000000,195.869995,197.789993,192.763153,542900
2019-03-28,198.320007,199.449997,197.330002,198.619995,193.572067,436300
2019-03-29,200.149994,200.710007,199.470001,200.630005,195.530960,413300
2019-04-01,202.750000,203.610001,201.500000,203.440002,198.269577,793700
2019-04-02,203.419998,204.309998,202.839996,204.020004,198.834854,469600
2019-04-03,205.270004,206.770004,204.949997,205.740005,200.511124,542200
2019-04-04,205.710007,206.100006,203.250000,204.639999,199.439087,421400
2019-04-05,205.330002,205.839996,204.990005,205.610001,200.384415,407600
2019-04-08,205.169998,206.460007,204.160004,206.429993,201.183594,530900
2019-04-09,205.520004,206.369995,205.100006,205.479996,200.257721,698700
2019-04-10,205.759995,207.139999,205.649994,207.119995,201.856049,551700
2019-04-11,207.440002,207.550003,206.529999,207.020004,201.758591,357300
2019-04-12,208.160004,208.399994,207.020004,208.360001,203.064529,387600
2019-04-15,208.529999,208.979996,207.250000,208.360001,203.064529,395600
2019-04-16,209.110001,209.660004,208.360001,209.259995,203.941635,403000
2019-04-17,210.449997,210.589996,209.160004,210.009995,204.672592,583100
2019-04-18,210.289993,210.440002,208.839996,210.389999,205.042953,383500
2019-04-22,209.550003,211.080002,209.350006,211.039993,205.676422,493900
2019-04-23,211.490005,213.699997,211.250000,213.470001,208.044647,1969500
2019-04-24,213.610001,214.649994,213.330002,213.610001,208.181076,486800
2019-04-25,214.639999,215.039993,212.149994,213.339996,207.917953,626300
2019-04-26,212.369995,212.910004,210.610001,212.889999,207.479401,1700700
2019-04-29,212.910004,213.770004,212.830002,213.029999,207.615845,1509700
2019-04-30,213.020004,213.669998,211.669998,213.410004,207.986191,1412900
2019-05-01,215.410004,215.770004,212.589996,212.589996,207.187012,461000
2019-05-02,212.580002,214.070007,210.369995,211.610001,206.231934,817900
2019-05-03,212.600006,213.880005,212.119995,213.690002,208.259064,323400
2019-05-06,208.740005,212.559998,207.899994,212.250000,206.855682,1000500
2019-05-07,209.820007,210.699997,205.830002,207.740005,202.460281,1050400
2019-05-08,207.190002,209.059998,206.610001,207.360001,202.089966,704500
2019-05-09,204.979996,206.570007,202.309998,205.970001,200.735245,917900
2019-05-10,204.660004,207.440002,201.660004,206.550003,201.300552,523900
2019-05-13,200.889999,201.880005,197.949997,198.539993,193.494080,1560000
2019-05-14,199.600006,203.009995,199.580002,201.869995,196.739471,662500
2019-05-15,200.479996,204.600006,200.380005,203.940002,198.756866,1531700
2019-05-16,204.179993,207.389999,203.979996,206.050003,200.813232,795000
2019-05-17,203.880005,206.830002,203.789993,204.000000,198.815338,404700
2019-05-20,200.850006,202.070007,199.589996,200.429993,195.336044,640900
2019-05-21,202.580002,203.710007,202.309998,203.169998,198.006424,307400
